Comparison,Group 1,Group 2,Reaction ID,Reaction name,Subsystem,D,p-value,q-value (BH),Median Egg,Median L1,Delta median,Pooled range,Relative delta,Rank D,Rank relative delta,Combined score,Higher median in,Shown in Fig. 5,Equation,Median L2,Median L3,Median L4,Median L4f,Median Af,Median L4m,Median Am
L3 vs L4,L3,L4,MAR06328,ATP:ADP phosphatransferase,Mitochondrial transport,0.63,2.04340576052423e-186,4.883393427693498e-186,,,-210.355787,1838.295433,0.1144,59,91,150,L3,,ADP[c] + ATP[m] <=> ADP[m] + ATP[c],,0.204768,-210.151019,,,,
L3 vs L4,L3,L4,MAR10023,Transport of biomass (c to e),Extracellular transport,0.403,5.766493709529924e-73,9.23949560276954e-73,,,-0.009822,0.046113,0.213,87,66,153,L3,,biomass[c] => biomass[e],,0.038091,0.028269,,,,
L3 vs L4,L3,L4,MAR10024,Exchange of biomass,Exchange/demand reactions,0.403,5.766493709529924e-73,9.23949560276954e-73,,,-0.009822,0.046113,0.213,87,67,154,L3,,biomass[e] <=> ,,0.038091,0.028269,,,,
L3 vs L4,L3,L4,MAR06916,ATP phosphohydrolase,Oxidative phosphorylation,0.504,6.683182560861084e-116,1.2564383214418836e-115,,,-0.089413,0.675983,0.1323,73,86,159,L3,,ADP[m] + Pi[m] + 3 H+[i] => ATP[m] + 2 H+[m] + H2O[m],,0.216057,0.126644,,,,
L3 vs L4,L3,L4,MAR04010,adenosine 5'-monophosphate phosphohydrolase,Purine metabolism,0.409,3.2883325105696894e-75,5.39133586035263e-75,,,-0.059396,0.340993,0.1742,86,75,161,L3,,AMP[c] + H2O[c] => adenosine[c] + Pi[c],,0.093292,0.033896,,,,
L3 vs L4,L3,L4,MAR01601,Phosphatidylethanolamine Transport,Extracellular transport,0.381,4.6891451899304544e-65,6.959678650317833e-65,,,-0.000502,0.002553,0.1967,94,68,162,L3,,PE-LD pool[e] <=> PE-LD pool[c],,0.002135,0.001633,,,,
L3 vs L4,L3,L4,MAR00656,Exchange of Phosphatidylethanolamine,Exchange/demand reactions,0.381,4.6891451899304544e-65,7.033717784895683e-65,,,0.000502,0.002553,0.1967,94,69,163,L4,,PE-LD pool[e] <=> ,,-0.002135,-0.001633,,,,
L3 vs L4,L3,L4,MAR09255,Adrenic acid exchange,Exchange/demand reactions,0.396,2.146349786144595e-70,3.2541432241547085e-70,,,-0.093611,0.574951,0.1628,92,76,168,L3,,ADP[e] <=> ,,0.17902,0.08541,,,,
L3 vs L4,L3,L4,MAR09039,L-Isoleucine exchange,Exchange/demand reactions,0.371,1.269310553972161e-61,1.864299876146611e-61,,,-0.002899,0.015106,0.1919,96,73,169,L3,,isoleucine[e] <=> ,,-0.01444,-0.017339,,,,
L3 vs L4,L3,L4,MAR07781,Adp exchange,Extracellular transport,0.396,2.146349786144595e-70,3.2541432241547085e-70,,,-0.093611,0.574951,0.1628,92,77,169,L3,,ADP[c] => ADP[e],,0.17902,0.08541,,,,
L3 vs L4,L3,L4,MAR03951,HMR 3951,Extracellular transport,0.43,2.323843201819021e-83,3.900736803053356e-83,,,0.261011,2.469083,0.1057,83,92,175,L4,,Na+[c] + sulfite[c] <=> Na+[e] + sulfite[e],,0.276823,0.537834,,,,
L3 vs L4,L3,L4,MAR04139,(S)-malate:NAD+ oxidoreductase,Tricarboxylic acid cycle and glyoxylate/dicarboxylate metabolism,0.474,5.655555502136393e-102,1.0094092731661157e-101,,,-0.031977,0.391974,0.0816,79,96,175,L3,,H+[c] + NADH[c] + OAA[c] <=> malate[c] + NAD+[c],,-0.117255,-0.149232,,,,
L3 vs L4,L3,L4,MAR10363,"Transport of Methylmalonate, Antiport with Sulphite",Extracellular transport,0.43,2.323843201819021e-83,3.900736803053356e-83,,,0.261011,2.469083,0.1057,83,93,176,L4,,methylmalonate[c] + sulfite[e] <=> sulfite[c] + methylmalonate[e],,0.276823,0.537834,,,,
L3 vs L4,L3,L4,MAR12040,Ceramide Diffusion,Sphingolipid metabolism,0.34,1.2831248062176252e-51,1.8092059767668515e-51,,,-0.001596,0.009811,0.1627,99,78,177,L3,,ceramide pool[e] <=> ceramide pool[c],,0.013591,0.011995,,,,
L3 vs L4,L3,L4,MAR04384,Exchange of N-Acylsphingosine,Exchange/demand reactions,0.34,1.2831248062176252e-51,1.8092059767668515e-51,,,0.001596,0.009811,0.1627,99,79,178,L4,,ceramide pool[e] <=> ,,-0.013591,-0.011995,,,,
L3 vs L4,L3,L4,MAR09354,EX hco3 LPAREN e RPAREN ,Exchange/demand reactions,0.356,1.1582681881726136e-56,1.6664879033912096e-56,,,0.763906,4.841978,0.1578,98,82,180,L4,,H2O2[e] <=> ,,-0.340387,0.423519,,,,
L3 vs L4,L3,L4,MAR04020,ATP:GMP phosphotransferase,Purine metabolism,0.545,1.2241554841493768e-136,2.501535119783509e-136,,,-37.994586,915.023845,0.0415,66,115,181,L3,,ADP[c] + GDP[c] <=> ATP[c] + GMP[c],,0.203348,-37.791238,,,,
L3 vs L4,L3,L4,MAR20137,MAR20137,Mitochondrial transport,0.545,1.2241554841493768e-136,2.538322400956796e-136,,,-37.993973,915.025001,0.0415,66,116,182,L3,,CTP[c] + GTP[m] <=> CTP[m] + GTP[c],,0.205447,-37.788526,,,,
L3 vs L4,L3,L4,MAR04135,ATP:GMP phosphotransferase,Purine metabolism,0.545,1.2241554841493768e-136,2.501535119783509e-136,,,37.993812,915.024113,0.0415,66,117,183,L4,,ADP[m] + GDP[m] <=> ATP[m] + GMP[m],,-0.204894,37.788919,,,,
L3 vs L4,L3,L4,MAR20139,MAR20139,Mitochondrial transport,0.545,1.2241554841493768e-136,2.501535119783509e-136,,,37.993812,915.024113,0.0415,66,118,184,L4,,CTP[c] + GMP[m] <=> CTP[m] + GMP[c],,-0.204894,37.788919,,,,
L3 vs L4,L3,L4,MAR09079,H+ exchange,Exchange/demand reactions,0.358,2.6027134195177023e-57,3.7833256922886194e-57,,,-1.079299,8.888412,0.1214,97,90,187,L3,,H+[e] <=> ,,1.419816,0.340517,,,,
L3 vs L4,L3,L4,MAR09062,L-Asparagine exchange,Exchange/demand reactions,0.309,1.4773569429441138e-42,1.9651634807086798e-42,,,-0.002119,0.014043,0.1509,106,83,189,L3,,asparagine[e] <=> ,,-0.013663,-0.015782,,,,
L3 vs L4,L3,L4,MAR03931,NADPH:oxidized-thioredoxin oxidoreductase,Pyrimidine metabolism,0.304,3.500009801152419e-41,4.612162448247581e-41,,,0.000343,0.00248,0.1383,107,85,192,L4,,H+[c] + NADPH[c] + oxidized thioredoxin[c] => NADP+[c] + thioredoxin[c],,0.002203,0.002546,,,,
L3 vs L4,L3,L4,MAR04914,CoA transporter  mitochondrial   irreversible,Mitochondrial transport,0.559,3.4501915758212364e-144,7.48426172601222e-144,,,-0.002239,0.093962,0.0238,65,128,193,L3,,CoA[c] <=> CoA[m],,-0.002702,-0.004941,,,,
L3 vs L4,L3,L4,MAR00632,Acyl-CoA:1-acyl-sn-glycero-3-phosphocholine O-acyltransferase,Glycerophospholipid metabolism,0.288,6.059523534333059e-37,7.560998392397888e-37,,,-0.000977,0.007929,0.1232,113,87,200,L3,,2-lysolecithin pool[c] + acyl-CoA pool[c] => CoA[c] + PC-LD pool[c],,0.006992,0.006015,,,,
L3 vs L4,L3,L4,MAR00628,Exchange of Lysophosphatidylcholine,Exchange/demand reactions,0.287,1.0946236062021007e-36,1.3538765655657564e-36,,,0.000976,0.007929,0.1231,114,88,202,L4,,2-lysolecithin pool[e] <=> ,,-0.006992,-0.006016,,,,
L3 vs L4,L3,L4,MAR01499,Lysophosphatidylcholine Transport,Extracellular transport,0.287,1.0946236062021007e-36,1.3421037258651846e-36,,,-0.000976,0.007929,0.1231,114,89,203,L3,,2-lysolecithin pool[e] <=> 2-lysolecithin pool[c],,0.006992,0.006016,,,,
L3 vs L4,L3,L4,MAR09836,Transport of 3-Phospho-D-Glycerate,Extracellular transport,0.336,2.1379657348599526e-50,2.9267297923811e-50,,,-0.136398,2.348579,0.0581,101,106,207,L3,,3-phospho-D-glycerate[e] <=> 3-phospho-D-glycerate[c],,-0.72914,-0.865538,,,,
L3 vs L4,L3,L4,MAR04147,Succinate:CoA ligase (GDP-forming),Tricarboxylic acid cycle and glyoxylate/dicarboxylate metabolism,0.504,6.683182560861084e-116,1.2908612891526202e-115,,,-6.407366,880.210936,0.0073,73,134,207,L3,,CoA[m] + GTP[m] + succinate[m] <=> GDP[m] + Pi[m] + succinyl-CoA[m],,0.000609,-6.406756,,,,
L3 vs L4,L3,L4,MAR09862,Exchange of 3-Phospho-D-Glycerate,Exchange/demand reactions,0.336,2.1379657348599526e-50,2.8985881597620505e-50,,,0.136398,2.348579,0.0581,101,107,208,L4,,3-phospho-D-glycerate[e] <=> ,,0.72914,0.865538,,,,
L3 vs L4,L3,L4,MAR04152,Succinate:CoA ligase (ADP-forming),Tricarboxylic acid cycle and glyoxylate/dicarboxylate metabolism,0.504,6.683182560861084e-116,1.2564383214418836e-115,,,-5.585481,880.019895,0.0063,73,136,209,L3,,ADP[m] + Pi[m] + succinyl-CoA[m] <=> ATP[m] + CoA[m] + succinate[m],,0.214937,-5.370544,,,,
L3 vs L4,L3,L4,MAR04373,D-glyceraldehyde-3-phosphate:NAD+ oxidoreductase (phosphorylating),Glycolysis / Gluconeogenesis,0.336,2.1379657348599526e-50,2.9554232217181693e-50,,,-0.136398,2.348579,0.0581,101,108,209,L3,,"1,3-bisphospho-D-glycerate[c] + H+[c] + NADH[c] <=> D-glyceraldehyde 3-phosphate[c] + NAD+[c] + Pi[c]",,-0.72914,-0.865538,,,,
L3 vs L4,L3,L4,MAR04368,ATP:3-phospho-D-glycerate 1-phosphotransferase,Glycolysis / Gluconeogenesis,0.336,2.1379657348599526e-50,2.9846848377747845e-50,,,0.136398,2.348579,0.0581,101,109,210,L4,,"1,3-bisphospho-D-glycerate[c] + ADP[c] <=> 3-phospho-D-glycerate[c] + ATP[c]",,0.72914,0.865538,,,,
L3 vs L4,L3,L4,MAR04008,ATP:UMP phosphotransferase,Pyrimidine metabolism,0.501,1.837273440992013e-114,3.4086257260509716e-114,,,-4.289356,1135.811692,0.0038,76,137,213,L3,,ADP[c] + UDP[c] <=> ATP[c] + UMP[c],,3.294805,-0.994551,,,,
L3 vs L4,L3,L4,MAR04323,"L-serine hydro-lyase (adding hydrogen sulfide, L-cysteine-forming)",Cysteine and methionine metabolism,0.397,9.279851616544992e-71,1.4701787392503866e-70,,,-0.00025,0.011326,0.0221,89,129,218,L3,,H+[c] + H2S[c] + serine[c] => cysteine[c] + H2O[c],,0.005444,0.005193,,,,
L3 vs L4,L3,L4,MAR04032,UTP:ammonia ligase (ADP-forming),Pyrimidine metabolism,0.244,1.5679195140192733e-26,1.7973711502172158e-26,,,-0.000161,0.0018,0.0897,123,95,218,L3,,ATP[c] + NH3[c] + UTP[c] => ADP[c] + CTP[c] + H+[c] + Pi[c],,0.001625,0.001463,,,,
L3 vs L4,L3,L4,MAR04990,Transport of H2S (c to e),Extracellular transport,0.397,9.279851616544992e-71,1.4378671186075208e-70,,,0.00025,0.011326,0.0221,89,130,219,L4,,H2S[c] <=> H2S[e],,-0.005444,-0.005193,,,,
L3 vs L4,L3,L4,MAR09103,Exchange of H2S,Exchange/demand reactions,0.397,9.279851616544992e-71,1.4378671186075208e-70,,,0.00025,0.011326,0.0221,89,131,220,L4,,H2S[e] <=> ,,-0.005444,-0.005193,,,,
L3 vs L4,L3,L4,MAR09063,L-Glutamine exchange,Exchange/demand reactions,0.223,3.407327718086382e-22,3.87446135685629e-22,,,-0.001355,0.020125,0.0674,124,101,225,L3,,glutamine[e] <=> ,,-0.018435,-0.01979,,,,
L3 vs L4,L3,L4,MAR04350,ATP:D-ribose 5-phosphotransferase,Pentose phosphate pathway,0.207,3.6831887568019337e-19,4.0572626149146303e-19,,,0.114871,1.551502,0.074,128,97,225,L4,,ADP[c] + H+[c] + ribose-5-phosphate[c] <=> ATP[c] + ribose[c],,-0.973762,-0.858891,,,,
L3 vs L4,L3,L4,MAR04354,"D-Ribose 1,5-phosphomutase",Pentose phosphate pathway,0.207,3.6831887568019337e-19,3.99484319006979e-19,,,0.114871,1.551502,0.074,128,98,226,L4,,ribose-1-phosphate[c] <=> ribose-5-phosphate[c],,-0.973762,-0.858891,,,,
L3 vs L4,L3,L4,MAR09406,R total exchange,Exchange/demand reactions,0.207,3.6831887568019337e-19,3.964348203886051e-19,,,0.114871,1.551502,0.074,128,99,227,L4,,ribose[e] <=> ,,-0.973762,-0.858891,,,,
L3 vs L4,L3,L4,MAR09834,Transport of XMP,Extracellular transport,0.208,2.4178548709800775e-19,2.6843900536078034e-19,,,0.000138,0.002122,0.0651,125,102,227,L4,,xanthosine-5-phosphate[e] <=> xanthosine-5-phosphate[c],,0.002119,0.002257,,,,
L3 vs L4,L3,L4,MAR10197,Exchange of Acetyl-Lysine,Exchange/demand reactions,0.265,2.825703548732288e-31,3.320201669760438e-31,,,-0.010334,0.179158,0.0577,118,110,228,L3,,Acetyl-L-Lysine[e] <=> ,,0.119239,0.108905,,,,
L3 vs L4,L3,L4,MAR04958,D-ribose transport via diffusion,Extracellular transport,0.207,3.6831887568019337e-19,3.99484319006979e-19,,,0.114871,1.551502,0.074,128,100,228,L4,,ribose[c] <=> ribose[e],,-0.973762,-0.858891,,,,
L3 vs L4,L3,L4,MAR09860,Exchange of Xanthylic Acid,Exchange/demand reactions,0.208,2.4178548709800775e-19,2.6843900536078034e-19,,,-0.000138,0.002122,0.0651,125,103,228,L3,,xanthosine-5-phosphate[e] <=> ,,-0.002119,-0.002257,,,,
L3 vs L4,L3,L4,MAR09072,Phosphate exchange,Exchange/demand reactions,0.166,1.9235329004551247e-12,2.009023251586464e-12,,,-0.626519,6.398396,0.0979,135,94,229,L3,,Pi[e] <=> ,,2.338586,1.712067,,,,
L3 vs L4,L3,L4,MAR04453,Xanthosine-5'-phosphate:ammonia ligase (AMP-forming),Purine metabolism,0.208,2.4178548709800775e-19,2.6843900536078034e-19,,,0.000138,0.002122,0.0651,125,104,229,L4,,ATP[c] + NH3[c] + xanthosine-5-phosphate[c] => AMP[c] + GMP[c] + H+[c] + PPi[c],,0.002119,0.002257,,,,
L3 vs L4,L3,L4,MAR09996,"Transport of Acetyl-Lysine, Extracellular",Extracellular transport,0.265,2.825703548732288e-31,3.3481025241281732e-31,,,-0.010334,0.179158,0.0577,118,111,229,L3,,Acetyl-L-Lysine[c] <=> Acetyl-L-Lysine[e],,0.119239,0.108905,,,,
L3 vs L4,L3,L4,MAR09952,Hydrolysis of Acetyl-Lysine,Lysine metabolism,0.265,2.825703548732288e-31,3.3481025241281732e-31,,,0.010334,0.179158,0.0577,118,112,230,L4,,H2O[c] + Acetyl-L-Lysine[c] <=> acetate[c] + lysine[c],,-0.119239,-0.108905,,,,
L3 vs L4,L3,L4,MAR03980,hydrogen-peroxide:hydrogen-peroxide oxidoreductase,ROS detoxification,0.313,1.1286198577396754e-43,1.5155752375361356e-43,,,-0.025746,1.026361,0.0251,105,127,232,L3,,2 H2O2[c] => 2 H2O[c] + O2[c],,0.390895,0.365149,,,,
L3 vs L4,L3,L4,MAR04002,ATP:AMP phosphotransferase,Purine metabolism,0.198,1.4811534595157654e-17,1.558527147699425e-17,,,0.026853,0.453907,0.0592,134,105,239,L4,,2 ADP[c] <=> AMP[c] + ATP[c],,-0.080431,-0.053578,,,,
L3 vs L4,L3,L4,MAR06394,,Ascorbate and aldarate metabolism,0.261,2.4343375575880702e-30,2.8134557018026063e-30,,,-0.065502,1.617471,0.0405,121,119,240,L3,,ascorbate[c] + lipoic acid[c] <=> dehydroascorbic acid[c] + dihydrolipoate[c],,-0.166496,-0.231998,,,,
L3 vs L4,L3,L4,MAR06397,,Lipoic acid metabolism,0.261,2.4343375575880702e-30,2.8134557018026063e-30,,,0.065502,1.617471,0.0405,121,120,241,L4,,H+[c] + lipoic acid[c] + NADH[c] <=> dihydrolipoate[c] + NAD+[c],,0.166496,0.231998,,,,
L3 vs L4,L3,L4,MAR20110,MAR20110,Miscellaneous,0.304,3.500009801152419e-41,4.5694572403934365e-41,,,0.002247,0.314124,0.0072,107,135,242,L4,,H+[m] + OAA[m] => CO2[m] + pyruvate[m],,0.10285,0.105097,,,,
L3 vs L4,L3,L4,MAR09440,L-Valine exchange,Exchange/demand reactions,0.199,9.90729836973848e-18,1.0503226091226509e-17,,,0.03483,0.653027,0.0533,132,113,245,L4,,UTP[e] <=> ,,-0.393465,-0.358635,,,,
L3 vs L4,L3,L4,MAR04947,,Extracellular transport,0.199,9.90729836973848e-18,1.0582795985857014e-17,,,0.03483,0.653027,0.0533,132,114,246,L4,,UTP[c] <=> UTP[e],,-0.393465,-0.358635,,,,
L3 vs L4,L3,L4,MAR08746,pyruvate:thiamin diphosphate acetaldehydetransferase (decarboxylating),Thiamine metabolism,0.29,1.844783660088942e-37,2.3433738384913587e-37,,,0.000301,0.314124,0.001,109,138,247,L4,,H+[m] + pyruvate[m] + thiamin-PP[m] => 2-(alpha-hydroxyethyl)thiamine-diphosphate[m] + CO2[m],,0.104796,0.105097,,,,
L3 vs L4,L3,L4,MAR06412,acetyl-CoA:enzyme N6-(dihydrolipoyl)lysine S-acetyltransferase,Glycolysis / Gluconeogenesis,0.29,1.844783660088942e-37,2.364677237023098e-37,,,0.000301,0.314124,0.001,109,139,248,L4,,CoA[m] + S-acetyldihydrolipoamide[m] => acetyl-CoA[m] + dihydrolipoamide[m],,0.104796,0.105097,,,,
L3 vs L4,L3,L4,MAR05071,LYStiDF,Extracellular transport,0.284,6.368984280614877e-36,7.675442594587159e-36,,,-0.003856,0.186784,0.0206,116,132,248,L3,,lysine[e] => lysine[c],,0.149924,0.146068,,,,
L3 vs L4,L3,L4,MAR09041,L-Lysine exchange,Exchange/demand reactions,0.284,6.368984280614877e-36,7.675442594587159e-36,,,0.003856,0.186784,0.0206,116,133,249,L4,,lysine[e] <=> ,,-0.149924,-0.146068,,,,
L3 vs L4,L3,L4,MAR20069,MAR20069,Glycolysis / Gluconeogenesis,0.29,1.844783660088942e-37,2.322450857790543e-37,,,0.000301,0.314124,0.001,109,140,249,L4,,2-(alpha-hydroxyethyl)thiamine-diphosphate[m] + lipoamide[m] <=> S-acetyldihydrolipoamide[m] + thiamin-PP[m],,0.104796,0.105097,,,,
L3 vs L4,L3,L4,MAR06409,Dihydrolipoamide:NAD+ oxidoreductase,"Glycine, serine and threonine metabolism",0.29,1.844783660088942e-37,2.3433738384913587e-37,,,-0.000301,0.314124,0.001,109,141,250,L3,,H+[m] + lipoamide[m] + NADH[m] <=> dihydrolipoamide[m] + NAD+[m],,-0.104796,-0.105097,,,,
L3 vs L4,L3,L4,MAR02186,"2-Amino-4-Hydroxy-6- (Erythro-1, 2, 3-Trihydroxypropyl) Dihydropteridine Triphosphate Phosphohydrolase (Alkaline Optimum)",Miscellaneous,0.046,0.2406820248660021,0.2406820248660021,,,-0.050894,1.332462,0.0382,138,121,259,L3,,"3 H2O[e] + 6-[(1S,2R)-1,2-dihydroxy-3-triphosphooxypropyl]-7,8-dihydropterin[e] <=> dihydroneopterin[e] + 2 H+[e] + 3 Pi[e]",,0.004307,-0.046587,,,,
L3 vs L4,L3,L4,MAR01871,"Exchange of 7, 8-Dihydroneopterin 3-Triphosphate",Exchange/demand reactions,0.046,0.2406820248660021,0.2459142427978717,,,0.050894,1.332462,0.0382,138,122,260,L4,,"6-[(1S,2R)-1,2-dihydroxy-3-triphosphooxypropyl]-7,8-dihydropterin[e] <=> ",,-0.004307,0.046587,,,,
L3 vs L4,L3,L4,MAR04024,ATP:CMP phosphotransferase,Nucleotide metabolism,0.156,4.9442098572811086e-11,5.0885663494644993e-11,,,-35.161422,1136.242099,0.0309,136,125,261,L3,,ADP[c] + CDP[c] <=> ATP[c] + CMP[c],,-2.631131,-37.792554,,,,
L3 vs L4,L3,L4,MAR09047,H2O exchange,Exchange/demand reactions,0.046,0.2406820248660021,0.2406820248660021,,,0.152682,3.997385,0.0382,138,123,261,L4,,H2O[e] <=> ,,-0.012921,0.139762,,,,
L3 vs L4,L3,L4,MAR09108,Exchange of dihydroneopterin,Exchange/demand reactions,0.046,0.2406820248660021,0.2406820248660021,,,-0.050894,1.332462,0.0382,138,124,262,L3,,dihydroneopterin[e] <=> ,,0.004307,-0.046587,,,,
L3 vs L4,L3,L4,MAR03967,Cytidylate kinase (CMP)(GTP),Nucleotide metabolism,0.156,4.9442098572811086e-11,5.0885663494644993e-11,,,34.76302,1136.195736,0.0306,136,126,262,L4,,CDP[c] + GDP[c] <=> CMP[c] + GTP[c],,3.027826,37.790846,,,,
L4f vs Af,L4f,Af,MAR09259,L-Alanine exchange,Exchange/demand reactions,1.0,0.0,0.0,,,-0.02542,0.035565,0.7147,1,1,2,L4f,yes,AKG[e] <=> ,,,,-0.033225,-0.058645,,
L4f vs Af,L4f,Af,MAR04855,Fumarate/malate antiporter (mitochondrial),Mitochondrial transport,1.0,0.0,0.0,,,-480.411882,729.693126,0.6584,1,2,3,L4f,,fumarate[c] + malate[m] <=> fumarate[m] + malate[c],,,,480.013334,-0.398549,,
L4f vs Af,L4f,Af,MAR04002,ATP:AMP phosphotransferase,Purine metabolism,0.997,0.0,0.0,,,-0.262616,0.406849,0.6455,5,3,8,L4f,yes,2 ADP[c] <=> AMP[c] + ATP[c],,,,-0.126222,-0.388837,,
L4f vs Af,L4f,Af,MAR09068,L-Proline exchange,Exchange/demand reactions,1.0,0.0,0.0,,,0.02464,0.042108,0.5852,1,8,9,Af,,proline[e] <=> ,,,,-0.049153,-0.024513,,
L4f vs Af,L4f,Af,MAR04080,AMP aminohydrolase,Purine metabolism,0.996,0.0,0.0,,,-0.262381,0.406985,0.6447,7,4,11,L4f,,AMP[c] + H2O[c] => IMP[c] + NH3[c],,,,0.323787,0.061406,,
L4f vs Af,L4f,Af,MAR04874,Transport of NH3 (c to m),Mitochondrial transport,0.997,0.0,0.0,,,-0.261604,0.407019,0.6427,5,7,12,L4f,,NH3[c] <=> NH3[m],,,,0.320248,0.058645,,
L4f vs Af,L4f,Af,MAR09838,Transport of IMP,Extracellular transport,0.996,0.0,0.0,,,0.262381,0.406985,0.6447,7,5,12,Af,yes,IMP[e] <=> IMP[c],,,,-0.323787,-0.061406,,
L4f vs Af,L4f,Af,MAR09360,K+ exchange,Exchange/demand reactions,0.996,0.0,0.0,,,-0.262381,0.406985,0.6447,7,6,13,L4f,,IMP[e] <=> ,,,,0.323787,0.061406,,
L4f vs Af,L4f,Af,MAR03802,L-glutamate:NAD+ oxidoreductase (deaminating),"Alanine, aspartate and glutamate metabolism",1.0,0.0,0.0,,,478.140627,948.083276,0.5043,1,12,13,Af,,AKG[m] + 2 H+[m] + NADH[m] + NH3[m] <=> glutamate[m] + H2O[m] + NAD+[m],,,,-478.081982,0.058645,,
L4f vs Af,L4f,Af,MAR09641,Transport of sphingosine (c to e),Extracellular transport,0.987,0.0,0.0,,,0.006458,0.012653,0.5104,10,9,19,Af,,sphingosine[c] <=> sphingosine[e],,,,0.010552,0.01701,,
L4f vs Af,L4f,Af,MAR11947,Exchange of Sphingosine,Exchange/demand reactions,0.987,0.0,0.0,,,0.006458,0.012653,0.5104,10,10,20,Af,,sphingosine[e] <=> ,,,,0.010552,0.01701,,
L4f vs Af,L4f,Af,MAR00758,acyl-CoA:sphingosine N-acyltransferase,Sphingolipid metabolism,0.987,0.0,0.0,,,0.006458,0.012653,0.5104,10,11,21,Af,yes,ceramide pool[c] + CoA[c] + H+[c] => sphingosine[c] + acyl-CoA pool[c],,,,0.010552,0.01701,,
L4f vs Af,L4f,Af,MAR04384,Exchange of N-Acylsphingosine,Exchange/demand reactions,0.943,0.0,0.0,,,-0.006475,0.013225,0.4896,15,13,28,L4f,,ceramide pool[e] <=> ,,,,-0.012437,-0.018912,,
L4f vs Af,L4f,Af,MAR12040,Ceramide Diffusion,Sphingolipid metabolism,0.943,0.0,0.0,,,0.006475,0.013225,0.4896,15,14,29,Af,,ceramide pool[e] <=> ceramide pool[c],,,,0.012437,0.018912,,
L4f vs Af,L4f,Af,ASCTm,Acetate:succinate CoA-transferase,,0.978,0.0,0.0,,,-0.185895,0.414283,0.4487,13,16,29,L4f,yes,succinate[m] + acetyl-CoA[m] => succinyl-CoA[m] + acetate[m],,,,0.287071,0.101176,,
L4f vs Af,L4f,Af,MAR00061,Acetate Mitochondrial Transport via Proton Symport,Mitochondrial transport,0.978,0.0,0.0,,,0.185895,0.414283,0.4487,13,17,30,Af,,acetate[c] + H+[c] <=> acetate[m] + H+[m],,,,-0.287071,-0.101176,,
L4f vs Af,L4f,Af,MAR09069,L-Serine exchange,Exchange/demand reactions,0.894,0.0,0.0,,,-0.011424,0.024444,0.4673,17,15,32,L4f,,serine[e] <=> ,,,,-0.047197,-0.058621,,
L4f vs Af,L4f,Af,MAR04344,"5,6-dihydrouracil:NAD+ oxidoreductase",Nucleotide metabolism,0.8,6.7025e-320,4.0215e-319,,,-0.328747,0.838437,0.3921,20,18,38,L4f,,"5,6-Dihydrouracil[c] + NAD+[c] <=> H+[c] + NADH[c] + uracil[c]",,,,-0.179556,-0.508303,,
L4f vs Af,L4f,Af,MAR10193,"Exchange of 5, 6-Dihydrouracil",Exchange/demand reactions,0.8,6.7025e-320,3.8387e-319,,,0.328747,0.838437,0.3921,20,19,39,Af,,"5,6-Dihydrouracil[e] <=> ",,,,0.179556,0.508303,,
L4f vs Af,L4f,Af,MAR09070,L-Aspartate exchange,Exchange/demand reactions,0.833,0.0,0.0,,,-0.059268,0.181483,0.3266,18,22,40,L4f,,aspartate[e] <=> ,,,,-0.030883,-0.090151,,
L4f vs Af,L4f,Af,MAR09983,"Transport of 5, 6-Dihydrouracil, Sodium Symport",Extracellular transport,0.8,6.7025e-320,4.0215e-319,,,0.328747,0.838437,0.3921,20,20,40,Af,,"5,6-Dihydrouracil[c] + Na+[c] <=> Na+[e] + 5,6-Dihydrouracil[e]",,,,0.179556,0.508303,,
L4f vs Af,L4f,Af,MAR07811,Aspartate Intake by System Asct-1 Transporter,Extracellular transport,0.833,0.0,0.0,,,0.059268,0.181483,0.3266,18,23,41,Af,,aspartate[e] + Na+[e] + proline[c] => aspartate[c] + Na+[c] + proline[e],,,,0.030883,0.090151,,
L4f vs Af,L4f,Af,MAR09038,L-Histidine exchange,Exchange/demand reactions,0.775,8.552237578378263e-297,4.685138847285483e-296,,,0.002632,0.006896,0.3818,23,21,44,Af,,histidine[e] <=> ,,,,-0.017441,-0.014809,,
L4f vs Af,L4f,Af,MAR04579,uridine:phosphate alpha-D-ribosyltransferase,Pyrimidine metabolism,0.669,1.2221860773260014e-212,6.416476905961508e-212,,,-0.410906,1.962693,0.2094,24,35,59,L4f,,Pi[c] + uridine[c] <=> ribose-1-phosphate[c] + uracil[c],,,,0.179556,-0.23135,,
L4f vs Af,L4f,Af,MAR11973,Transport to Extracellular Space,Extracellular transport,0.558,1.2169340874898888e-143,4.3809627149636e-143,,,-0.494817,1.967746,0.2515,34,26,60,L4f,,"fructose-1,6-bisphosphate[c] <=> fructose-1,6-bisphosphate[e]",,,,-0.261107,-0.755925,,
L4f vs Af,L4f,Af,MAR06914,ferrocytochrome-c:oxygen oxidoreductase,Oxidative phosphorylation,0.653,1.3253186706370208e-201,6.679606100010585e-201,,,-0.148127,0.757072,0.1957,25,36,61,L4f,,4 ferrocytochrome C[m] + 8 H+[m] + O2[m] => 4 ferricytochrome C[m] + 2 H2O[m] + 4 H+[i],,,,0.361887,0.213761,,
